instrumentId,tradingday,openprice,highestprice,lowestprice,closeprice,openinterest,volume
a1301,2012-05-31 07:25,0.0,0.0,0.0,0.0,246792,0
a1301,2012-05-31 08:59,4316.0,4316.0,4316.0,4316.0,246586,322
a1301,2012-05-31 09:00,4312.0,4316.0,4307.0,4314.0,246068,3106
a1301,2012-05-31 09:01,4314.0,4318.0,4314.0,4318.0,246214,1822
a1301,2012-05-31 09:02,4318.0,4322.0,4317.0,4322.0,245872,1548
a1301,2012-05-31 09:03,4323.0,4323.0,4320.0,4320.0,245874,1226
a1301,2012-05-31 09:04,4320.0,4321.0,4319.0,4320.0,245906,500
a1301,2012-05-31 09:05,4320.0,4323.0,4319.0,4323.0,246116,808
a1301,2012-05-31 09:06,4323.0,4324.0,4319.0,4320.0,246376,552
a1301,2012-05-31 09:07,4319.0,4322.0,4319.0,4322.0,246378,468
a1301,2012-05-31 09:08,4322.0,4323.0,4320.0,4322.0,246464,626
a1301,2012-05-31 09:09,4322.0,4324.0,4321.0,4324.0,246448,362
a1301,2012-05-31 09:10,4323.0,4325.0,4323.0,4323.0,246530,356
a1301,2012-05-31 09:11,4323.0,4325.0,4323.0,4325.0,246588,536
a1301,2012-05-31 09:12,4325.0,4328.0,4325.0,4327.0,246772,748
a1301,2012-05-31 09:13,4327.0,4327.0,4325.0,4325.0,247094,546
a1301,2012-05-31 09:14,4325.0,4325.0,4322.0,4322.0,247188,266
a1301,2012-05-31 09:15,4322.0,4323.0,4320.0,4323.0,247106,724
a1301,2012-05-31 09:16,4322.0,4324.0,4322.0,4324.0,247116,158
a1301,2012-05-31 09:17,4324.0,4324.0,4323.0,4324.0,247224,336
a1301,2012-05-31 09:18,4324.0,4325.0,4323.0,4325.0,247326,282
a1301,2012-05-31 09:19,4325.0,4325.0,4323.0,4324.0,247264,232
a1301,2012-05-31 09:20,4324.0,4326.0,4324.0,4324.0,247392,278
a1301,2012-05-31 09:21,4324.0,4326.0,4324.0,4325.0,247320,310
a1301,2012-05-31 09:22,4325.0,4327.0,4324.0,4324.0,247420,274
a1301,2012-05-31 09:23,4324.0,4326.0,4323.0,4325.0,247436,198
a1301,2012-05-31 09:24,4325.0,4327.0,4325.0,4327.0,247604,1018
a1301,2012-05-31 09:25,4327.0,4329.0,4327.0,4328.0,247684,642
a1301,2012-05-31 09:26,4329.0,4329.0,4326.0,4327.0,247946,502
a1301,2012-05-31 09:27,4327.0,4328.0,4325.0,4325.0,247920,478
a1301,2012-05-31 09:28,4325.0,4326.0,4325.0,4325.0,247850,238
a1301,2012-05-31 09:29,4325.0,4326.0,4325.0,4326.0,247774,332
a1301,2012-05-31 09:30,4326.0,4327.0,4326.0,4326.0,247750,106
a1301,2012-05-31 09:31,4326.0,4327.0,4326.0,4326.0,247690,110
a1301,2012-05-31 09:32,4326.0,4327.0,4325.0,4327.0,247676,82
a1301,2012-05-31 09:33,4327.0,4328.0,4327.0,4328.0,247574,216
a1301,2012-05-31 09:34,4328.0,4330.0,4328.0,4329.0,247690,398
a1301,2012-05-31 09:35,4329.0,4330.0,4328.0,4330.0,247596,468
a1301,2012-05-31 09:36,4330.0,4330.0,4328.0,4329.0,247424,378
a1301,2012-05-31 09:37,4329.0,4330.0,4328.0,4329.0,247532,346
a1301,2012-05-31 09:38,4329.0,4331.0,4328.0,4331.0,247960,968
a1301,2012-05-31 09:39,4331.0,4333.0,4331.0,4333.0,248320,750
a1301,2012-05-31 09:40,4333.0,4334.0,4333.0,4333.0,248504,458
a1301,2012-05-31 09:41,4333.0,4333.0,4331.0,4331.0,248638,440
a1301,2012-05-31 09:42,4332.0,4332.0,4331.0,4331.0,248696,196
a1301,2012-05-31 09:43,4331.0,4332.0,4331.0,4331.0,248718,100
a1301,2012-05-31 09:44,4332.0,4332.0,4331.0,4332.0,248758,88
a1301,2012-05-31 09:45,4331.0,4332.0,4330.0,4331.0,248708,280
a1301,2012-05-31 09:46,4331.0,4331.0,4330.0,4331.0,248722,246
a1301,2012-05-31 09:47,4330.0,4331.0,4329.0,4331.0,248692,364
a1301,2012-05-31 09:48,4332.0,4333.0,4332.0,4333.0,248774,162
a1301,2012-05-31 09:49,4332.0,4335.0,4332.0,4334.0,249006,746
a1301,2012-05-31 09:50,4334.0,4336.0,4333.0,4334.0,249112,1176
a1301,2012-05-31 09:51,4334.0,4335.0,4333.0,4334.0,249592,850
a1301,2012-05-31 09:52,4334.0,4337.0,4334.0,4336.0,249718,1312
a1301,2012-05-31 09:53,4336.0,4336.0,4334.0,4335.0,250648,2268
a1301,2012-05-31 09:54,4336.0,4337.0,4335.0,4337.0,250736,354
a1301,2012-05-31 09:55,4337.0,4337.0,4335.0,4335.0,250858,530
a1301,2012-05-31 09:56,4335.0,4337.0,4334.0,4337.0,250976,480
a1301,2012-05-31 09:57,4337.0,4338.0,4335.0,4335.0,251802,1034
a1301,2012-05-31 09:58,4335.0,4336.0,4334.0,4335.0,251950,758
a1301,2012-05-31 09:59,4335.0,4335.0,4332.0,4332.0,252012,698
a1301,2012-05-31 10:00,4332.0,4334.0,4331.0,4333.0,251850,392
a1301,2012-05-31 10:01,4333.0,4334.0,4332.0,4332.0,251810,140
a1301,2012-05-31 10:02,4333.0,4334.0,4329.0,4332.0,252462,1204
a1301,2012-05-31 10:03,4332.0,4334.0,4331.0,4333.0,252392,116
a1301,2012-05-31 10:04,4334.0,4335.0,4333.0,4333.0,252414,322
a1301,2012-05-31 10:05,4334.0,4335.0,4333.0,4334.0,252412,360
a1301,2012-05-31 10:06,4334.0,4335.0,4334.0,4335.0,252506,172
a1301,2012-05-31 10:07,4335.0,4336.0,4335.0,4336.0,252518,38
a1301,2012-05-31 10:08,4336.0,4340.0,4334.0,4338.0,253264,1530
a1301,2012-05-31 10:09,4338.0,4338.0,4335.0,4336.0,253432,572
a1301,2012-05-31 10:10,4336.0,4336.0,4333.0,4333.0,253188,484
a1301,2012-05-31 10:11,4333.0,4335.0,4333.0,4334.0,253178,134
a1301,2012-05-31 10:12,4334.0,4334.0,4333.0,4334.0,252862,416
a1301,2012-05-31 10:13,4335.0,4335.0,4333.0,4334.0,252782,210
a1301,2012-05-31 10:14,4334.0,4334.0,4333.0,4334.0,252684,342
a1301,2012-05-31 10:15,4334.0,4334.0,4334.0,4334.0,252688,6
a1301,2012-05-31 10:30,4335.0,4336.0,4334.0,4334.0,252610,662
a1301,2012-05-31 10:31,4335.0,4337.0,4335.0,4337.0,252160,820
a1301,2012-05-31 10:32,4337.0,4337.0,4336.0,4336.0,252138,222
a1301,2012-05-31 10:33,4336.0,4336.0,4333.0,4333.0,252174,532
a1301,2012-05-31 10:34,4333.0,4333.0,4332.0,4332.0,252134,292
a1301,2012-05-31 10:35,4332.0,4332.0,4330.0,4331.0,252208,518
a1301,2012-05-31 10:36,4331.0,4332.0,4330.0,4332.0,251758,750
a1301,2012-05-31 10:37,4332.0,4333.0,4332.0,4333.0,251782,44
a1301,2012-05-31 10:38,4333.0,4334.0,4333.0,4334.0,251748,248
a1301,2012-05-31 10:39,4334.0,4334.0,4333.0,4333.0,251764,94
a1301,2012-05-31 10:40,4333.0,4334.0,4333.0,4334.0,251760,92
a1301,2012-05-31 10:41,4334.0,4334.0,4334.0,4334.0,251760,10
a1301,2012-05-31 10:42,4334.0,4336.0,4334.0,4336.0,251666,136
a1301,2012-05-31 10:43,4337.0,4337.0,4335.0,4335.0,251718,486
a1301,2012-05-31 10:44,4335.0,4335.0,4332.0,4332.0,251952,656
a1301,2012-05-31 10:45,4332.0,4334.0,4332.0,4333.0,252064,294
a1301,2012-05-31 10:46,4333.0,4335.0,4333.0,4335.0,252064,100
a1301,2012-05-31 10:47,4334.0,4335.0,4334.0,4334.0,252114,166
a1301,2012-05-31 10:48,4334.0,4334.0,4334.0,4334.0,252098,40
a1301,2012-05-31 10:49,4333.0,4333.0,4333.0,4333.0,252102,70
a1301,2012-05-31 10:50,4332.0,4333.0,4332.0,4333.0,252052,154
a1301,2012-05-31 10:51,4333.0,4333.0,4333.0,4333.0,252072,38
a1301,2012-05-31 10:52,4333.0,4334.0,4333.0,4334.0,252068,170
a1301,2012-05-31 10:53,4334.0,4334.0,4333.0,4334.0,252068,52
a1301,2012-05-31 10:54,4334.0,4334.0,4333.0,4334.0,252106,80
a1301,2012-05-31 10:55,4334.0,4334.0,4331.0,4331.0,252152,288
a1301,2012-05-31 10:56,4331.0,4331.0,4330.0,4331.0,252102,302
